 Nmin= 10000; Nmax= 20000;
 N; lb; diam; s
10000;71;71;146
10000;71;71;160
10000;71;71;410
10000;71;71;1830
10000;71;71;1832
10000;71;71;3918
10000;71;71;4628
10001;71;71;146
10001;71;71;160
10001;71;71;985
10001;71;71;987
10001;71;71;1973
10001;71;71;2205
10001;71;71;2835
10001;71;71;3285
10001;71;71;4268
10001;71;71;4305
10001;71;71;4428
10001;71;71;4459
10001;71;71;4927
10001;71;71;4938
10002;71;71;146
10002;71;71;412
10002;71;71;549
10002;71;71;1126
10002;71;71;1128
10002;71;71;1287
10002;71;71;1641
10002;71;71;3291
10003;71;71;146
10003;71;71;275
10003;71;71;291
10003;71;71;1267
10003;71;71;1269
10003;71;71;1486
10003;71;71;1694
10003;71;71;2535
10003;71;71;3281
10003;71;71;4028
10003;71;71;4638
10003;71;71;4795
10003;71;71;4939
10004;71;71;138
10004;71;71;726
10004;71;71;1068
10004;71;71;1408
10004;71;71;1410
10004;71;71;1492
10004;71;71;3286
10004;71;71;3564
10005;71;71;138
10005;71;71;1690
10005;71;71;1692
10005;71;71;2605
10005;71;71;3197
10005;71;71;3292
10005;71;71;3381
10005;71;71;3585
10005;71;71;4033
10006;71;71;138
10006;71;71;579
10006;71;71;1914
10006;71;71;1918
10006;71;71;1972
10006;71;71;1974
10006;71;71;2429
10006;71;71;2936
10006;71;71;3282
10006;71;71;4113
10006;71;71;4865
10006;71;71;4942
10007;71;71;138
10007;71;71;144
10007;71;71;289
10007;71;71;1218
10007;71;71;1406
10007;71;71;2536
10007;71;71;2538
10007;71;71;3287
10007;71;71;3428
10007;71;71;4306
10007;71;71;4642
10007;71;71;4934
10008;71;71;144
10008;71;71;1370
10008;71;71;1642
10008;71;71;3192
10008;71;71;3382
10008;71;71;3384
10009;71;71;140
10009;71;71;144
10009;71;71;430
10009;71;71;921
10009;71;71;2322
10009;71;71;3651
10009;71;71;3701
10009;71;71;3840
10009;71;71;4184
10009;71;71;4564
10009;71;71;4933
10009;71;71;4935
10010;71;71;140
10010;71;71;142
10010;71;71;144
10010;71;71;428
10010;71;71;430
10010;71;71;1286
10010;71;71;1288
10010;71;71;1572
10010;71;71;1574
10010;71;71;1858
10010;71;71;1860
10010;71;71;1887
10010;71;71;2207
10010;71;71;2430
10010;71;71;2432
10010;71;71;2716
10010;71;71;2718
10010;71;71;3288
10010;71;71;3290
10010;71;71;3860
10010;71;71;3862
10010;71;71;4035
10010;71;71;4146
10010;71;71;4148
10010;71;71;4387
10010;71;71;4432
10010;71;71;4434
10010;71;71;4463
10010;71;71;4718
10010;71;71;4720
10010;71;71;4865
10011;71;71;140
10011;71;71;142
10011;71;71;281
10011;71;71;283
10011;71;71;422
10011;71;71;424
10011;71;71;428
10011;71;71;563
10011;71;71;565
10011;71;71;704
10011;71;71;706
10011;71;71;735
10011;71;71;845
10011;71;71;847
10011;71;71;959
10011;71;71;986
10011;71;71;988
10011;71;71;1127
10011;71;71;1129
10011;71;71;1268
10011;71;71;1270
10011;71;71;1409
10011;71;71;1411
10011;71;71;1550
10011;71;71;1552
10011;71;71;1691
10011;71;71;1693
10011;71;71;1832
10011;71;71;1834
10011;71;71;1973
10011;71;71;1975
10011;71;71;2058
10011;71;71;2114
10011;71;71;2116
10011;71;71;2255
10011;71;71;2257
10011;71;71;2396
10011;71;71;2398
10011;71;71;2537
10011;71;71;2539
10011;71;71;2678
10011;71;71;2680
10011;71;71;2819
10011;71;71;2821
10011;71;71;2960
10011;71;71;2962
10011;71;71;3101
10011;71;71;3103
10011;71;71;3242
10011;71;71;3244
10011;71;71;3383
10011;71;71;3385
10011;71;71;3477
10011;71;71;3524
10011;71;71;3526
10011;71;71;3665
10011;71;71;3667
10011;71;71;3806
10011;71;71;3808
10011;71;71;3947
10011;71;71;3949
10011;71;71;4088
10011;71;71;4090
10011;71;71;4229
10011;71;71;4231
10011;71;71;4370
10011;71;71;4372
10011;71;71;4511
10011;71;71;4513
10011;71;71;4652
10011;71;71;4654
10011;71;71;4793
10011;71;71;4795
10011;71;71;4934
10011;71;71;4936
10012;71;71;140
10012;71;71;142
10012;71;71;948
10012;71;71;1782
10012;71;71;2544
10012;71;71;2758
10013;71;71;142
10013;71;71;405
10013;71;71;1045
10013;71;71;1162
10013;71;71;1870
10013;71;71;2137
10013;71;71;2468
10013;71;71;3291
10013;71;71;4034
10013;71;71;4634
10013;71;71;4935
10013;71;71;4937
10014;71;71;824
10014;71;71;1508
10014;71;71;2433
10014;71;71;2536
10014;71;71;2542
10014;71;71;3384
10014;71;71;3386
10014;71;71;4498
10014;71;71;4665
10015;71;71;685
10015;71;71;1690
10015;71;71;2538
10015;71;71;2540
10015;71;71;2843
10015;71;71;4037
10015;71;71;4063
10015;71;71;4252
10015;71;71;4270
10015;71;71;4313
10016;71;71;1974
10016;71;71;1976
10016;71;71;3292
10016;71;71;3978
10017;71;71;126
10017;71;71;1692
10017;71;71;1694
10017;71;71;2571
10017;71;71;3157
10017;71;71;4209
10018;71;71;126
10018;71;71;727
10018;71;71;896
10018;71;71;973
10018;71;71;1287
10018;71;71;1410
10018;71;71;1412
10018;71;71;1596
10018;71;71;2240
10018;71;71;2332
10018;71;71;2537
10018;71;71;2543
10018;71;71;3472
10018;71;71;3569
10018;71;71;3682
10018;71;71;4036
10019;71;71;1269
10019;71;71;1271
10019;71;71;1646
10019;71;71;1808
10019;71;71;2195
10019;71;71;2209
10019;71;71;2744
10019;71;71;2903
10019;71;71;3293
10019;71;71;3629
10019;71;71;4438
10019;71;71;4467
10020;71;71;550
10020;71;71;1128
10020;71;71;1130
10021;71;71;131
10021;71;71;153
10021;71;71;758
10021;71;71;780
10021;71;71;987
10021;71;71;989
10021;71;71;1530
10021;71;71;1691
10021;71;71;1860
10021;71;71;2721
10021;71;71;2886
10021;71;71;3074
10021;71;71;4189
10021;71;71;4531
10022;71;71;131
10022;71;71;153
10022;71;71;695
10022;71;71;1650
10022;71;71;1834
10022;71;71;1836
10022;71;71;2325
10022;71;71;2538
10022;71;71;2544
10022;71;71;2845
10022;71;71;2884
10022;71;71;2906
10022;71;71;3845
10022;71;71;3888
10022;71;71;4153
10022;71;71;4273
10022;71;71;4316
10023;71;71;131
10023;71;71;153
10023;71;71;580
10023;71;71;846
10023;71;71;848
10023;71;71;1574
10023;71;71;2466
10023;71;71;2644
10023;71;71;3290
10023;71;71;3865
10023;71;71;3927
10023;71;71;4120
10023;71;71;4473
10023;71;71;4530
10024;71;71;1018
10024;71;71;1552
10024;71;71;1554
10024;71;71;2198
10024;71;71;3020
10024;71;71;4742
10025;71;71;123
10025;71;71;163
10025;71;71;705
10025;71;71;707
10025;71;71;1235
10025;71;71;2368
10025;71;71;2800
10026;71;71;825
10026;71;71;1863
10026;71;71;1890
10026;71;71;2682
10026;71;71;2684
10026;71;71;3291
10026;71;71;4394
10027;71;71;1326
10027;71;71;2140
10027;71;71;2242
10027;71;71;2336
10027;71;71;2467
10027;71;71;2647
10027;71;71;2760
10027;71;71;2992
10027;71;71;4036
10027;71;71;4070
10027;71;71;4153
10027;71;71;4259
10027;71;71;4377
10027;71;71;4379
10027;71;71;4726
10028;71;71;1098
10028;71;71;2888
10028;71;71;3530
10028;71;71;3532
10028;71;71;4442
10029;71;71;564
10029;71;71;566
10029;71;71;897
10029;71;71;1100
10029;71;71;1577
10029;71;71;2032
10029;71;71;2367
10029;71;71;2847
10029;71;71;3292
10029;71;71;3384
10029;71;71;3981
10029;71;71;4276
10029;71;71;4672
10029;71;71;4729
10030;71;71;1810
10030;71;71;2060
10030;71;71;2118
10030;71;71;2120
10030;71;71;2747
10030;71;71;3205
10030;71;71;3633
10031;71;71;600
10031;71;71;688
10031;71;71;1187
10031;71;71;3024
10031;71;71;3482
10031;71;71;4520
10031;71;71;4522
10031;71;71;4651
10032;71;71;728
10032;71;71;2724
10032;71;71;3574
10032;71;71;3814
10032;71;71;3816
10032;71;71;4038
10032;71;71;4170
10032;71;71;4940
10032;71;71;4950
10033;71;71;158
10033;71;71;431
10033;71;71;950
10033;71;71;1291
10033;71;71;3200
10033;71;71;3204
10033;71;71;3435
10033;71;71;4097
10033;71;71;4099
10034;71;71;158
10034;71;71;429
10034;71;71;1019
10034;71;71;1238
10034;71;71;1532
10034;71;71;2033
10034;71;71;2750
10034;71;71;3023
10034;71;71;3078
10034;71;71;3485
10034;71;71;3782
10034;71;71;3983
10034;71;71;4804
10034;71;71;4806
10034;71;71;4941
10034;71;71;4951
10035;71;71;423
10035;71;71;425
10035;71;71;1788
10035;71;71;2328
10035;71;71;3850
10036;71;71;274
10036;71;71;1234
10036;71;71;1764
10036;71;71;2248
10036;71;71;2402
10036;71;71;2404
10036;71;71;3398
10036;71;71;3870
10036;71;71;4942
10036;71;71;4952
10037;71;71;292
10037;71;71;698
10037;71;71;824
10037;71;71;1863
10037;71;71;2032
10037;71;71;2040
10037;71;71;2578
10037;71;71;2995
10037;71;71;4240
10037;71;71;4242
10037;71;71;4446
10037;71;71;4551
10038;71;71;826
10038;71;71;1101
10038;71;71;1452
10038;71;71;2968
10038;71;71;2970
10039;71;71;276
10039;71;71;444
10039;71;71;977
10039;71;71;1165
10039;71;71;1456
10039;71;71;1741
10039;71;71;2034
10039;71;71;2437
10039;71;71;2478
10039;71;71;2887
10039;71;71;3399
10039;71;71;3714
10039;71;71;3985
10039;71;71;4158
10039;71;71;4665
10039;71;71;4667
10040;71;71;3110
10040;71;71;3112
10040;71;71;3148
10040;71;71;3850
10041;71;71;133
10041;71;71;151
10041;71;71;1292
10041;71;71;1535
10041;71;71;2750
10041;71;71;3102
10041;71;71;3637
10041;71;71;3676
10041;71;71;3678
10041;71;71;3874
10042;71;71;133
10042;71;71;151
10042;71;71;290
10042;71;71;1239
10042;71;71;1328
