 Nmin= 10000; Nmax= 20000;
10042;71;71;1577
10042;71;71;2262
10042;71;71;2264
10042;71;71;2372
10042;71;71;2649
10042;71;71;3440
10042;71;71;3785
10043;71;71;133
10043;71;71;151
10043;71;71;1600
10043;71;71;1927
10043;71;71;1977
10043;71;71;2438
10043;71;71;2479
10043;71;71;2727
10043;71;71;2828
10043;71;71;2830
10043;71;71;3392
10043;71;71;3398
10043;71;71;3576
10043;71;71;4511
10043;71;71;4751
10043;71;71;4883
10044;71;71;1020
10044;71;71;1652
10044;71;71;3026
10044;71;71;3960
10044;71;71;3962
10044;71;71;4734
10045;71;71;1453
10045;71;71;2065
10045;71;71;2250
10045;71;71;3253
10045;71;71;3255
10045;71;71;3747
10045;71;71;4882
10046;71;71;282
10046;71;71;284
10046;71;71;1457
10046;71;71;2278
10046;71;71;2371
10046;71;71;2652
10046;71;71;2889
10046;71;71;3393
10046;71;71;3399
10046;71;71;4678
10046;71;71;4737
10046;71;71;4942
10047;71;71;282
10047;71;71;284
10047;71;71;1102
10047;71;71;1221
10047;71;71;1815
10047;71;71;2441
10047;71;71;2726
10047;71;71;4818
10048;71;71;128
10048;71;71;678
10048;71;71;1580
10048;71;71;1978
10048;71;71;3254
10048;71;71;3256
10048;71;71;4222
10048;71;71;4266
10048;71;71;4556
10049;71;71;128
10049;71;71;662
10049;71;71;976
10049;71;71;1291
10049;71;71;1351
10049;71;71;1418
10049;71;71;2040
10049;71;71;3394
10049;71;71;3400
10049;71;71;3875
10049;71;71;3962
10049;71;71;3964
10049;71;71;3993
10049;71;71;4330
10049;71;71;4406
10049;71;71;4946
10050;71;71;1240
10050;71;71;1653
10050;71;71;2830
10050;71;71;2832
10050;71;71;3788
10051;71;71;414
10051;71;71;697
10051;71;71;2202
10051;71;71;2264
10051;71;71;2266
10051;71;71;2442
10051;71;71;3393
10051;71;71;4165
10051;71;71;4947
10052;71;71;2544
10052;71;71;3680
10052;71;71;3682
10052;71;71;4078
10052;71;71;4130
10053;71;71;1458
10053;71;71;1767
10053;71;71;1868
10053;71;71;1923
10053;71;71;2891
10053;71;71;3114
10053;71;71;3116
10053;71;71;3750
10053;71;71;4451
10054;71;71;1537
10054;71;71;2041
10054;71;71;2476
10054;71;71;2480
10054;71;71;2850
10054;71;71;3004
10054;71;71;3106
10054;71;71;3394
10054;71;71;3490
10054;71;71;3879
10054;71;71;3995
10054;71;71;4544
10054;71;71;4672
10054;71;71;4674
10055;71;71;550
10055;71;71;2618
10055;71;71;2973
10055;71;71;2975
10055;71;71;3207
10055;71;71;3213
10055;71;71;4585
10056;71;71;432
10056;71;71;1654
10056;71;71;4248
10056;71;71;4250
10057;71;71;135
10057;71;71;149
10057;71;71;430
10057;71;71;1292
10057;71;71;2343
10057;71;71;2407
10057;71;71;2409
10057;71;71;2914
10057;71;71;3493
10057;71;71;4214
10058;71;71;135
10058;71;71;149
10058;71;71;424
10058;71;71;426
10058;71;71;582
10058;71;71;1817
10058;71;71;1986
10058;71;71;2477
10058;71;71;2481
10058;71;71;2729
10058;71;71;3168
10058;71;71;3212
10058;71;71;3604
10059;71;71;135
10059;71;71;149
10059;71;71;1377
10059;71;71;2042
10059;71;71;3308
10059;71;71;3997
10059;71;71;4330
10059;71;71;4816
10059;71;71;4818
10060;71;71;690
10060;71;71;2312
10060;71;71;4108
10060;71;71;4110
10061;71;71;1517
10061;71;71;1580
10061;71;71;2654
10061;71;71;2852
10061;71;71;3757
10061;71;71;3825
10061;71;71;3827
10061;71;71;4742
10062;71;71;156
10062;71;71;1704
10062;71;71;2478
10062;71;71;2482
10062;71;71;3309
10062;71;71;4455
10062;71;71;4534
10062;71;71;4536
10063;71;71;125
10063;71;71;156
10063;71;71;161
10063;71;71;679
10063;71;71;964
10063;71;71;1651
10063;71;71;1793
10063;71;71;1897
10063;71;71;1987
10063;71;71;2125
10063;71;71;2127
10063;71;71;2375
10063;71;71;4170
10063;71;71;4520
10063;71;71;4745
10063;71;71;4967
10064;71;71;566
10064;71;71;568
10064;71;71;966
10064;71;71;1868
10064;71;71;4958
10064;71;71;4964
10065;71;71;2223
10065;71;71;3310
10065;71;71;3543
10065;71;71;3545
10065;71;71;4053
10065;71;71;4968
10066;71;71;700
10066;71;71;3724
10066;71;71;4333
10066;71;71;4394
10066;71;71;4396
10066;71;71;4590
10066;71;71;4959
10066;71;71;4965
10067;71;71;536
10067;71;71;1380
10067;71;71;1516
10067;71;71;1539
10067;71;71;1583
10067;71;71;2693
10067;71;71;2695
10067;71;71;2771
10067;71;71;3128
10067;71;71;3302
10067;71;71;3314
10067;71;71;3700
10067;71;71;3884
10067;71;71;4230
10067;71;71;4637
10067;71;71;4659
10068;71;71;708
10068;71;71;710
10068;71;71;4170
10068;71;71;4960
10068;71;71;4966
10069;71;71;137
10069;71;71;147
10069;71;71;1559
10069;71;71;1561
10069;71;71;1652
10069;71;71;1819
10069;71;71;1871
10069;71;71;1932
10069;71;71;2220
10069;71;71;2732
10069;71;71;3760
10069;71;71;4297
10070;71;71;137
10070;71;71;147
10070;71;71;850
10070;71;71;852
10070;71;71;980
10070;71;71;2620
10070;71;71;4055
10071;71;71;137
10071;71;71;147
10071;71;71;1843
10071;71;71;1845
10071;71;71;3174
10071;71;71;3308
10071;71;71;4459
10072;71;71;992
10072;71;71;994
10072;71;71;1296
10072;71;71;3674
10072;71;71;4060
10072;71;71;4670
10072;71;71;4830
10073;71;71;413
10073;71;71;731
10073;71;71;1134
10073;71;71;1136
10073;71;71;2315
10073;71;71;4336
10074;71;71;1276
10074;71;71;1278
10074;71;71;3309
10075;71;71;130
10075;71;71;415
10075;71;71;553
10075;71;71;583
10075;71;71;1418
10075;71;71;1420
10075;71;71;4005
10075;71;71;4057
10076;71;71;130
10076;71;71;1702
10076;71;71;1704
10076;71;71;2446
10076;71;71;3794
10076;71;71;4212
10076;71;71;4300
10076;71;71;4830
10077;71;71;139
10077;71;71;145
10077;71;71;1497
10077;71;71;1986
10077;71;71;1988
10077;71;71;3310
10077;71;71;4062
10078;71;71;139
10078;71;71;145
10078;71;71;2222
10078;71;71;2338
10078;71;71;2554
10078;71;71;2556
10078;71;71;2624
10078;71;71;3316
10078;71;71;4900
10079;71;71;139
10079;71;71;145
10079;71;71;433
10079;71;71;1900
10079;71;71;1932
10079;71;71;3406
10079;71;71;3408
10079;71;71;4143
10080;71;71;4968
10080;71;71;4970
10081;71;71;141
10081;71;71;143
10081;71;71;431
10081;71;71;1380
10081;71;71;2559
10081;71;71;2958
10081;71;71;3317
10082;71;71;141
10082;71;71;143
10082;71;71;283
10082;71;71;285
10082;71;71;425
10082;71;71;427
10082;71;71;567
10082;71;71;569
10082;71;71;709
10082;71;71;711
10082;71;71;851
10082;71;71;853
10082;71;71;993
10082;71;71;995
10082;71;71;1135
10082;71;71;1137
10082;71;71;1170
10082;71;71;1277
10082;71;71;1279
10082;71;71;1419
10082;71;71;1421
10082;71;71;1561
10082;71;71;1563
10082;71;71;1703
10082;71;71;1705
10082;71;71;1845
10082;71;71;1847
10082;71;71;1987
10082;71;71;1989
10082;71;71;2129
10082;71;71;2131
10082;71;71;2271
10082;71;71;2273
10082;71;71;2413
10082;71;71;2415
10082;71;71;2555
10082;71;71;2557
10082;71;71;2697
10082;71;71;2699
10082;71;71;2839
10082;71;71;2841
10082;71;71;2981
10082;71;71;2983
10082;71;71;3123
10082;71;71;3125
10082;71;71;3265
10082;71;71;3267
10082;71;71;3407
10082;71;71;3409
10082;71;71;3549
10082;71;71;3551
10082;71;71;3691
10082;71;71;3693
10082;71;71;3728
10082;71;71;3833
10082;71;71;3835
10082;71;71;3975
10082;71;71;3977
10082;71;71;4117
10082;71;71;4119
10082;71;71;4259
10082;71;71;4261
10082;71;71;4401
10082;71;71;4403
10082;71;71;4543
10082;71;71;4545
10082;71;71;4685
10082;71;71;4687
10082;71;71;4827
10082;71;71;4829
10082;71;71;4900
10082;71;71;4969
10082;71;71;4971
10082;71;71;4978
10083;71;71;141
10083;71;71;143
10083;71;71;3314
10083;71;71;3678
10083;71;71;4299
10083;71;71;4419
10084;71;71;966
10084;71;71;2450
10084;71;71;4496
10084;71;71;4972
10085;71;71;902
10085;71;71;928
10085;71;71;1795
10085;71;71;2560
10085;71;71;3408
10085;71;71;4063
10086;71;71;2556
10087;71;71;154
10087;71;71;408
10087;71;71;732
10087;71;71;1519
10087;71;71;1607
10087;71;71;1990
10087;71;71;2905
10087;71;71;4344
10087;71;71;4699
10088;71;71;154
10088;71;71;690
10088;71;71;1296
10088;71;71;1704
10088;71;71;1884
10088;71;71;2482
10088;71;71;3654
10089;71;71;1422
10090;71;71;980
10090;71;71;1278
10090;71;71;3180
10090;71;71;3312
10090;71;71;4302
10091;71;71;1136
10091;71;71;1821
10091;71;71;1873
10091;71;71;2341
10091;71;71;2349
10091;71;71;3595
10092;71;71;996
10092;71;71;4182
10093;71;71;554
10093;71;71;1025
10093;71;71;1541
10093;71;71;1585
10093;71;71;1847
10093;71;71;2556
10093;71;71;3313
10093;71;71;4500
10094;71;71;700
10094;71;71;852
10094;71;71;3012
10094;71;71;4564
10095;71;71;1335
10095;71;71;1563
10095;71;71;3873
10096;71;71;712
10096;71;71;1876
10096;71;71;2866
10096;71;71;4150
10097;71;71;127
10097;71;71;159
10097;71;71;2214
10097;71;71;2385
10097;71;71;2557
10097;71;71;2701
10097;71;71;3956
10097;71;71;4008
10097;71;71;4182
10098;71;71;132
10098;71;71;1704
10098;71;71;4410
10099;71;71;132
10099;71;71;831
10099;71;71;2666
10099;71;71;3557
10099;71;71;3658
10099;71;71;4426
10099;71;71;4762
10099;71;71;4973
10100;71;71;568
10100;71;71;4290
10101;71;71;2133
10101;71;71;3420
10101;71;71;4974
10102;71;71;2156
10102;71;71;3222
10102;71;71;3228
10102;71;71;4010
10102;71;71;4552
10102;71;71;4706
10103;71;71;1026
10103;71;71;1300
10103;71;71;2075
10103;71;71;2259
10103;71;71;2263
10103;71;71;2767
10103;71;71;2868
10103;71;71;3507
10103;71;71;3808
10103;71;71;3843
10104;71;71;432
10104;71;71;4128
10105;71;71;3227
10105;71;71;3600
10105;71;71;4838
10106;71;71;426
10106;71;71;3460
10106;71;71;3510
10107;71;71;957
10107;71;71;2421
10107;71;71;3045
10108;71;71;152
10108;71;71;1466
10108;71;71;2048
10108;71;71;3878
10108;71;71;4272
10109;71;71;152
10109;71;71;276
10109;71;71;703
10109;71;71;1990
10109;71;71;2454
10109;71;71;2991
10109;71;71;3101
10109;71;71;3123
10109;71;71;4069
10109;71;71;4988
10110;71;71;4698
10111;71;71;832
10111;71;71;984
10111;71;71;1109
10111;71;71;3134
10111;71;71;3421
10111;71;71;3811
10111;71;71;3901
10111;71;71;4989
10112;71;71;278
10112;71;71;1588
10112;71;71;3704
10112;71;71;3772
10112;71;71;4542
10113;71;71;2049
10113;71;71;2280
10114;71;71;2668
10114;71;71;2770
10114;71;71;2848
10114;71;71;3422
10114;71;71;4978
10115;71;71;1248
10115;71;71;1467
10115;71;71;3465
10115;71;71;3988
10115;71;71;4918
10116;71;71;3276
10116;71;71;4770
10117;71;71;134
10117;71;71;286
10117;71;71;2745
10117;71;71;3048
10117;71;71;4251
10117;71;71;4786
10117;71;71;4917
10118;71;71;134
10118;71;71;284
10118;71;71;2054
10118;71;71;2080
10118;71;71;2388
10119;71;71;2910
10119;71;71;3279
10120;71;71;1110
10120;71;71;2498
10120;71;71;3418
10120;71;71;3992
10121;71;71;983
10121;71;71;1464
10121;71;71;2459
10121;71;71;2852
10121;71;71;2869
10121;71;71;4297
10122;71;71;2280
10123;71;71;702
10123;71;71;1249
10123;71;71;1665
10123;71;71;2055
10123;71;71;2493
10123;71;71;3419
10123;71;71;3706
10123;71;71;4482
10123;71;71;4590
10123;71;71;4616
10124;71;71;2218
10124;71;71;3136
10124;71;71;3906
10125;71;71;150
10125;71;71;4707
10126;71;71;150
10126;71;71;1548
10126;71;71;2912
10126;71;71;2994
10127;71;71;129
10127;71;71;157
10127;71;71;586
10127;71;71;1301
10127;71;71;1780
10127;71;71;2494
10127;71;71;3236
10127;71;71;4024
10127;71;71;4278
10127;71;71;4577
10128;71;71;2424
10128;71;71;2748
10129;71;71;429
10129;71;71;1666
10129;71;71;3518
10130;71;71;1662
10130;71;71;1830
10130;71;71;2360
10130;71;71;4852
10131;71;71;2499
10131;71;71;3420
10131;71;71;4137
10132;71;71;136
10132;71;71;1910
10132;71;71;3852
10132;71;71;4026
10132;71;71;4486
10133;71;71;136
10133;71;71;695
10133;71;71;2673
10133;71;71;4199
10133;71;71;4568
10133;71;71;4992
10134;71;71;2142
10135;71;71;572
10135;71;71;2392
10135;71;71;2500
10135;71;71;3333
10135;71;71;4993
10136;71;71;1806
10136;71;71;3568
10137;71;71;684
10137;71;71;2235
10137;71;71;4425
10138;71;71;148
10138;71;71;2714
10138;71;71;3334
10138;71;71;4364
10139;71;71;148
10139;71;71;713
10139;71;71;1550
10139;71;71;1884
10139;71;71;2002
10139;71;71;3751
10139;71;71;4087
10139;71;71;5001
10140;71;71;1572
10141;71;71;858
10141;71;71;1832
10141;71;71;3331
10141;71;71;5002
10142;71;71;736
10142;71;71;1858
10142;71;71;1946
10142;71;71;4084
10142;71;71;5006
10143;71;71;138
10143;71;71;999
10144;71;71;138
10144;71;71;1144
10144;71;71;3332
10144;71;71;3788
10145;71;71;1287
10145;71;71;4367
10145;71;71;4865
10146;71;71;1428
10147;71;71;146
10147;71;71;1716
10147;71;71;2332
10147;71;71;2354
10147;71;71;4086
10148;71;71;146
10148;71;71;418
10148;71;71;2000
10148;71;71;2576
10149;71;71;2574
10150;71;71;140
10150;71;71;3432
10151;71;71;140
10151;71;71;434
10151;71;71;2643
10151;71;71;4328
10151;71;71;4332
10151;71;71;5003
10152;71;71;144
10153;71;71;131
10153;71;71;142
10153;71;71;144
10153;71;71;155
10153;71;71;285
10153;71;71;287
10153;71;71;428
10153;71;71;430
10153;71;71;571
10153;71;71;573
10153;71;71;714
10153;71;71;716
10153;71;71;857
10153;71;71;859
10153;71;71;1000
10153;71;71;1002
10153;71;71;1143
10153;71;71;1145
10153;71;71;1286
10153;71;71;1288
10153;71;71;1429
10153;71;71;1431
10153;71;71;1572
10153;71;71;1574
10153;71;71;1715
10153;71;71;1717
10153;71;71;1858
10153;71;71;1860
10153;71;71;2001
10153;71;71;2003
10153;71;71;2144
10153;71;71;2146
10153;71;71;2287
10153;71;71;2289
10153;71;71;2430
10153;71;71;2432
10153;71;71;2573
10153;71;71;2575
10153;71;71;2716
10153;71;71;2718
10153;71;71;2859
10153;71;71;2861
10153;71;71;3002
10153;71;71;3004
10153;71;71;3145
10153;71;71;3147
10153;71;71;3288
10153;71;71;3290
10153;71;71;3431
10153;71;71;3433
10153;71;71;3574
10153;71;71;3576
10153;71;71;3717
10153;71;71;3719
10153;71;71;3860
10153;71;71;3862
10153;71;71;4003
10153;71;71;4005
10153;71;71;4146
10153;71;71;4148
10153;71;71;4289
10153;71;71;4291
10153;71;71;4432
10153;71;71;4434
10153;71;71;4575
10153;71;71;4577
10153;71;71;4718
10153;71;71;4720
10153;71;71;4861
10153;71;71;4863
10153;71;71;5004
10153;71;71;5006
10154;71;71;142
10154;71;71;1390
10155;71;71;5007
10156;71;71;3432
10157;71;71;973
10157;71;71;2574
10157;71;71;3334
10157;71;71;3342
10157;71;71;3679
10157;71;71;3705
10157;71;71;4092
10158;71;71;2004
10159;71;71;1716
10159;71;71;4375
10160;71;71;1432
10160;71;71;1530
10161;71;71;1287
10162;71;71;1032
10162;71;71;1144
10163;71;71;1003
10163;71;71;1596
10163;71;71;1834
10163;71;71;3203
10164;71;71;1860
10165;71;71;858
10165;71;71;1552
10165;71;71;4035
10166;71;71;558
10166;71;71;1574
10166;71;71;5006
10167;71;71;717
10167;71;71;4533
10168;71;71;2720
10169;71;71;2402
10169;71;71;4180
10169;71;71;4441
10169;71;71;4795
10170;71;71;3582
10171;71;71;572
10171;71;71;2685
10172;71;71;2148
10172;71;71;2576
10172;71;71;3834
10172;71;71;4458
10173;71;71;4584
10174;71;71;3870
10175;71;71;133
10175;71;71;153
10175;71;71;3532
10175;71;71;4157
10175;71;71;4740
10176;71;71;4872
10177;71;71;429
10177;71;71;1476
10177;71;71;2889
10177;71;71;3250
10178;71;71;2438
10178;71;71;3626
10179;71;71;3444
10179;71;71;4302
10180;71;71;3012
10181;71;71;708
10181;71;71;3906
10181;71;71;3928
10181;71;71;4731
10182;71;71;3156
10183;71;71;991
10183;71;71;3730
10184;71;71;838
10184;71;71;2296
10185;71;71;2868
10186;71;71;4016
10186;71;71;5026
10187;71;71;2064
10187;71;71;2068
10187;71;71;2764
10187;71;71;2790
10187;71;71;3299
10187;71;71;4953
10188;71;71;288
10189;71;71;286
10189;71;71;4952
10190;71;71;3070
10190;71;71;3302
10191;71;71;4020
10192;71;71;2510
10192;71;71;2872
10193;71;71;135
10193;71;71;151
10193;71;71;990
10193;71;71;1118
10193;71;71;2296
10193;71;71;4513
10194;71;71;3732
10195;71;71;707
10195;71;71;3158
10196;71;71;1258
10196;71;71;4740
10197;71;71;3015
10197;71;71;3444
10198;71;71;4308
10199;71;71;2441
10199;71;71;2933
10199;71;71;3259
10200;71;71;432
10201;71;71;3543
10201;71;71;4886
10202;71;71;1678
10202;71;71;4166
10202;71;71;5026
10203;71;71;3879
10204;71;71;4600
10205;71;71;2157
10205;71;71;2692
10205;71;71;4055
10206;71;71;576
10207;71;71;137
10207;71;71;149
10207;71;71;2409
10207;71;71;3593
10208;71;71;2518
10208;71;71;4456
10209;71;71;2733
10210;71;71;718
10211;71;71;1561
10211;71;71;1583
10211;71;71;3354
10211;71;71;3358
10212;71;71;864
10213;71;71;1845
10213;71;71;1871
10214;71;71;1006
10214;71;71;5038
10215;71;71;1152
10216;71;71;1296
10217;71;71;139
10217;71;71;147
10217;71;71;1438
10217;71;71;4398
10218;71;71;1728
10219;71;71;2014
10219;71;71;4115
10220;71;71;2592
