 Nmin= 40000, Nmax= 50001 
 N Dlim diam s1opts
 40000, 141, 141, 4538
 40001, 141, 141, 12285
 40001, 141, 141, 16737
 40001, 141, 141, 9297
 40002, 141, 141, 6618
 40003, 141, 141, 12678
 40003, 141, 141, 15603
 40004, 141, 141, 19010
 40004, 141, 141, 3356
 40005, 141, 141, 14367
 40006, 141, 141, 19866
 40006, 141, 141, 7378
 40007, 141, 141, 14575
 40007, 141, 141, 17309
 40007, 141, 141, 6481
 40007, 141, 141, 8056
 40007, 141, 141, 8060
 40008, 141, 142, 10075
 40008, 141, 142, 10082
 40008, 141, 142, 10804
 40008, 141, 142, 11008
 40008, 141, 142, 1136
 40008, 141, 142, 12200
 40008, 141, 142, 14966
 40008, 141, 142, 16228
 40008, 141, 142, 16290
 40008, 141, 142, 18422
 40008, 141, 142, 18746
 40008, 141, 142, 18878
 40008, 141, 142, 19275
 40008, 141, 142, 19867
 40008, 141, 142, 2432
 40008, 141, 142, 2517
 40008, 141, 142, 3188
 40008, 141, 142, 3660
 40008, 141, 142, 3714
 40008, 141, 142, 5035
 40008, 141, 142, 6619
 40008, 141, 142, 9346
 40009, 141, 141, 1134
 40009, 141, 141, 19440
 40010, 141, 141, 12030
 40010, 141, 141, 8228
 40011, 141, 141, 12117
 40012, 141, 141, 10076
 40012, 141, 141, 6242
 40013, 141, 141, 14188
 40013, 141, 141, 15497
 40013, 141, 141, 275
 40013, 141, 141, 291
 40013, 141, 141, 4476
 40013, 141, 141, 8859
 40014, 141, 142, 11228
 40014, 141, 142, 11684
 40014, 141, 142, 11784
 40014, 141, 142, 12289
 40014, 141, 142, 13241
 40014, 141, 142, 15044
 40014, 141, 142, 17310
 40014, 141, 142, 17422
 40014, 141, 142, 1804
 40014, 141, 142, 18652
 40014, 141, 142, 275
 40014, 141, 142, 291
 40014, 141, 142, 302
 40014, 141, 142, 3972
 40014, 141, 142, 5034
 40014, 141, 142, 5353
 40014, 141, 142, 6620
 40014, 141, 142, 7718
 40014, 141, 142, 9254
 40015, 141, 141, 13807
 40015, 141, 141, 9648
 40016, 141, 141, 1418
 40016, 141, 141, 5036
 40017, 141, 141, 13242
 40017, 141, 141, 5919
 40018, 141, 141, 10786
 40019, 141, 141, 11473
 40019, 141, 141, 17596
 40019, 141, 141, 4792
 40020, 141, 142, 10074
 40020, 141, 142, 10078
 40020, 141, 142, 11266
 40020, 141, 142, 11636
 40020, 141, 142, 12033
 40020, 141, 142, 12334
 40020, 141, 142, 13243
 40020, 141, 142, 13443
 40020, 141, 142, 13934
 40020, 141, 142, 13994
 40020, 141, 142, 15044
 40020, 141, 142, 15953
 40020, 141, 142, 16772
 40020, 141, 142, 18320
 40020, 141, 142, 1960
 40020, 141, 142, 19865
 40020, 141, 142, 2685
 40020, 141, 142, 3456
 40020, 141, 142, 7304
 40020, 141, 142, 8594
 40020, 141, 142, 8598
 40020, 141, 142, 9216
 40021, 141, 141, 10429
 40021, 141, 141, 13907
 40022, 141, 141, 19866
 40022, 141, 141, 6716
 40022, 141, 141, 9082
 40023, 141, 141, 7611
 40024, 141, 141, 1986
 40025, 141, 141, 14762
 40025, 141, 141, 15955
 40025, 141, 141, 4227
 40026, 141, 142, 11475
 40026, 141, 142, 12854
 40026, 141, 142, 14276
 40026, 141, 142, 15614
 40026, 141, 142, 17759
 40026, 141, 142, 19868
 40026, 141, 142, 2272
 40026, 141, 142, 277
 40026, 141, 142, 2800
 40026, 141, 142, 289
 40026, 141, 142, 6394
 40026, 141, 142, 6912
 40026, 141, 142, 7688
 40026, 141, 142, 8554
 40027, 141, 141, 16464
 40027, 141, 141, 277
 40027, 141, 141, 289
 40027, 141, 141, 7048
 40028, 141, 141, 10076
 40028, 141, 141, 12490
 40029, 141, 141, 5355
 40030, 141, 141, 2838
 40031, 141, 141, 13436
 40031, 141, 141, 13440
 40031, 141, 141, 18453
 40031, 141, 141, 3100
 40032, 141, 142, 10077
 40032, 141, 142, 10894
 40032, 141, 142, 11630
 40032, 141, 142, 15116
 40032, 141, 142, 15156
 40032, 141, 142, 16634
 40032, 141, 142, 16752
 40032, 141, 142, 16842
 40032, 141, 142, 19877
 40032, 141, 142, 266
 40032, 141, 142, 4860
 40032, 141, 142, 4964
 40032, 141, 142, 5038
 40032, 141, 142, 8499
 40032, 141, 142, 9936
 40033, 141, 141, 18170
 40033, 141, 141, 3664
 40034, 141, 141, 19878
 40034, 141, 141, 3974
 40035, 141, 141, 17763
 40036, 141, 141, 15050
 40037, 141, 141, 17198
 40037, 141, 141, 279
 40037, 141, 141, 287
 40037, 141, 141, 5678
 40038, 141, 142, 11168
 40038, 141, 142, 11691
 40038, 141, 142, 13253
 40038, 141, 142, 15962
 40038, 141, 142, 19600
 40038, 141, 142, 19732
 40038, 141, 142, 19876
 40038, 141, 142, 19880
 40038, 141, 142, 279
 40038, 141, 142, 287
 40038, 141, 142, 6338
 40038, 141, 142, 6530
 40038, 141, 142, 6952
 40039, 141, 141, 16071
 40039, 141, 141, 7950
 40040, 141, 141, 9938
 40041, 141, 141, 13254
 40042, 141, 141, 19878
 40043, 141, 141, 281
 40043, 141, 141, 285
