 N; Dlim; diam; s1opts
766;14;14;176
766;17;17;147
766;20;20;283
766;17;17;200
767;14;14;179
767;19;19;82
767;17;17;151
767;22;22;44
767;17;17;178
767;15;15;152
767;15;15;136
767;14;15;136
767;20;21;238
767;16;16;176
767;17;17;204
767;18;18;31
767;17;17;203
767;19;19;108
768;18;18;156
768;18;18;32
768;18;18;216
768;14;15;137
768;17;17;160
768;21;21;181
768;17;17;205
769;18;18;38
769;18;18;41
769;14;14;23
769;14;15;149
769;22;22;54
769;16;16;191
769;19;19;102
769;19;19;30
769;17;17;172
769;14;14;28
769;14;15;151
769;14;14;33
769;20;21;255
769;20;20;160
770;21;21;195
770;20;21;258
770;16;16;236
770;17;17;228
770;19;19;38
770;14;15;161
770;22;22;39
771;17;17;230
771;16;16;240
771;14;15;164
771;13;13;100
771;13;13;102
771;16;16;213
771;18;18;65
771;16;16;215
771;17;17;237
771;18;18;66
772;20;20;186
772;17;17;192
772;18;18;300
772;17;17;239
772;22;22;284
772;14;15;179
772;17;17;221
772;16;16;210
772;20;20;321
772;17;17;194
773;14;14;72
773;16;16;227
773;14;15;181
773;17;17;105
773;18;18;258
773;18;18;76
773;16;16;231
773;13;13;118
773;14;15;183
773;22;22;51
773;17;17;232
773;17;17;254
774;15;15;22
774;18;18;210
774;17;17;234
774;19;19;68
774;15;15;26
774;16;16;29
774;16;16;233
775;21;21;222
775;20;20;204
775;22;22;89
775;22;22;169
775;16;16;35
775;21;21;126
775;21;21;226
775;17;17;271
775;14;14;118
775;15;15;25
775;19;19;182
775;17;17;273
775;20;21;295
776;20;20;134
776;16;16;28
776;17;17;286
776;15;15;35
776;21;21;422
776;17;17;210
776;19;19;200
776;16;16;59
777;19;19;192
777;18;18;120
777;22;22;185
777;18;18;118
777;19;19;190
777;14;14;145
777;16;16;69
777;18;18;35
777;17;17;30
777;16;16;32
778;22;22;278
778;18;18;37
778;17;17;254
778;17;17;36
778;15;15;91
778;20;21;314
778;18;18;133
778;15;15;98
779;18;18;32
779;20;20;156
779;20;20;162
779;15;15;102
779;20;20;250
779;22;22;290
779;17;17;33
779;20;20;249
779;22;22;128
779;17;17;35
779;15;15;93
779;22;22;130
779;20;21;328
779;21;21;33
779;17;17;29
779;18;18;30
779;19;19;203
779;15;15;100
779;18;18;69
780;20;20;177
780;15;15;131
780;17;17;73
780;17;17;39
780;21;21;274
780;18;18;75
780;20;20;181
780;17;17;42
780;15;15;151
780;19;19;213
780;22;22;148
780;18;18;183
781;17;17;28
781;20;20;30
781;22;22;42
781;20;20;282
781;15;15;116
781;16;16;87
781;22;22;221
781;15;15;164
781;15;15;118
782;18;18;186
782;19;19;255
782;19;19;219
782;19;19;254
782;21;21;36
782;18;18;64
782;20;20;34
783;16;16;158
783;21;21;50
783;19;19;257
783;17;17;230
783;16;16;160
783;19;19;167
783;19;19;195
783;21;21;274
784;21;21;53
784;20;20;205
784;20;20;294
784;21;21;300
785;16;16;145
785;16;16;108
785;18;18;113
785;15;15;138
785;15;15;189
785;22;22;43
785;16;16;154
785;18;18;120
785;16;16;118
785;20;20;214
786;20;20;300
786;17;17;130
786;18;18;124
786;19;19;241
786;17;17;132
787;22;22;50
787;20;20;218
787;20;20;304
787;22;22;382
787;15;15;158
787;20;21;377
787;18;18;222
787;16;16;134
787;16;16;172
787;17;17;99
787;20;21;382
787;17;17;101
788;19;19;197
788;19;19;195
788;15;15;180
788;20;20;72
788;21;21;342
788;20;20;322
788;18;18;142
788;16;16;158
788;15;15;193
789;21;21;335
789;17;17;173
789;22;22;406
789;22;22;174
789;17;17;128
789;18;18;263
789;17;17;130
790;18;18;146
790;22;22;375
790;18;18;172
790;22;22;214
790;22;22;420
790;21;21;115
790;17;17;182
791;22;22;216
791;16;16;206
791;17;17;38
791;17;17;206
791;20;20;114
791;19;19;250
791;18;18;163
791;17;17;176
792;20;20;122
792;20;20;368
792;18;18;172
792;18;18;300
792;19;19;257
793;20;20;373
793;20;20;46
793;20;20;381
793;18;18;204
793;19;19;324
793;18;18;180
793;22;22;442
793;19;19;326
793;17;17;142
793;19;19;273
793;17;17;204
793;20;20;304
794;22;22;450
794;20;20;145
794;19;19;34
794;17;17;94
794;17;17;263
794;16;16;27
795;18;18;233
795;19;19;35
795;22;22;140
795;16;16;37
795;19;19;48
795;17;17;214
796;18;18;38
796;19;19;41
796;18;18;243
796;19;19;358
796;21;21;160
797;15;15;134
797;18;18;31
797;17;17;186
797;21;21;162
797;18;18;226
797;17;17;190
797;19;19;44
797;19;19;28
798;17;17;247
799;18;18;41
799;19;19;32
799;18;18;263
799;20;20;37
799;19;19;37
799;15;15;156
799;22;22;162
800;20;20;43
800;21;21;179
800;17;17;36
800;21;21;408
800;18;18;177
800;18;18;292
800;22;23;41
800;16;16;89
800;19;19;333
800;22;22;287
800;22;23;43
801;19;19;335
801;18;18;68
801;21;21;414
801;22;23;45
802;15;15;182
802;21;21;287
802;22;23;47
802;17;17;232
803;21;21;193
803;20;20;126
803;18;18;76
803;20;20;366
803;22;22;300
803;20;20;214
803;18;18;278
804;22;22;302
804;17;17;40
804;19;19;37
804;22;22;48
804;20;20;370
804;18;18;308
804;19;19;82
804;19;19;41
804;16;16;132
804;21;21;38
804;18;18;286
804;19;19;124
804;19;19;110
804;18;18;291
804;17;17;42
804;18;18;294
804;21;21;230
805;16;16;152
805;19;19;30
805;16;16;155
805;19;19;104
806;16;16;157
806;20;20;243
806;18;18;35
807;17;17;57
807;18;18;37
808;22;23;83
808;20;20;108
808;22;23;85
809;22;22;330
809;16;16;174
809;18;18;150
809;19;19;120
809;16;16;177
809;18;18;135
809;17;17;72
809;20;21;32
810;22;23;91
811;19;19;36
811;19;19;150
811;22;22;223
811;17;17;244
811;19;19;152
811;22;23;93
812;20;21;38
813;20;20;123
813;19;19;130
813;18;18;30
814;19;19;152
814;20;20;33
815;17;17;146
815;18;18;151
815;20;21;44
815;20;20;36
815;17;17;150
816;22;22;39
816;17;17;96
816;21;21;258
816;16;17;26
816;20;20;42
816;21;21;355
816;16;17;29
816;17;17;104
816;16;17;31
816;16;17;33
816;16;17;35
816;20;20;47
816;17;17;156
816;19;19;105
816;22;22;49
816;22;23;125
817;17;17;274
817;18;18;58
817;19;19;198
818;20;20;50
818;21;21;268
818;18;18;176
819;17;17;162
820;22;22;245
820;20;20;213
820;17;17;177
820;20;21;66
820;19;19;206
820;16;16;234
820;22;23;127
820;21;21;116
821;16;17;59
821;18;18;64
821;17;17;166
821;16;17;61
822;18;18;178
822;17;17;168
822;19;19;192
822;21;21;307
822;22;22;386
822;16;17;67
822;17;17;184
822;16;17;69
822;22;22;287
822;20;20;188
822;22;22;388
822;17;17;196
822;20;20;73
822;17;17;198
822;21;21;112
822;20;21;87
822;19;19;156
822;21;21;117
822;18;18;202
822;16;16;27
822;22;23;146
823;16;17;89
823;18;18;257
823;16;17;91
823;19;19;216
824;19;19;218
824;16;16;37
825;20;20;208
825;22;22;162
825;16;16;40
825;22;22;90
825;18;18;110
825;19;19;250
825;18;18;273
825;16;17;108
825;20;20;257
825;17;17;220
825;22;22;313
826;18;18;226
826;18;18;179
826;18;18;117
826;16;17;116
826;18;18;181
826;18;18;283
826;16;17;119
826;17;17;243
826;21;21;432
826;20;20;364
826;16;17;121
826;16;17;122
826;19;19;266
826;17;17;225
826;22;23;167
826;21;21;321
826;18;18;129
827;17;17;227
827;22;22;406
827;22;23;169
827;18;18;294
828;17;17;240
828;21;21;357
828;20;20;200
828;17;17;232
828;19;19;274
828;21;21;185
828;19;19;254
828;20;21;130
829;18;18;178
829;17;17;239
830;16;17;135
830;18;18;144
831;16;17;137
832;21;21;363
833;19;19;280
833;19;19;284
833;19;19;195
834;19;19;266
834;17;17;274
834;22;23;183
834;16;17;149
834;17;17;255
834;19;19;292
834;16;17;151
834;22;23;185
834;19;19;294
834;18;18;226
834;18;18;166
834;18;18;280
834;22;22;323
834;19;19;284
834;17;17;26
834;22;22;212
835;21;21;357
836;19;19;222
837;22;22;214
838;17;17;32
839;19;19;224
839;18;18;34
840;16;17;179
840;20;20;34
840;17;17;36
840;18;18;38
840;16;16;148
840;16;17;181
840;18;18;251
840;19;19;298
840;18;18;253
840;22;22;222
840;18;18;194
840;19;19;302
840;20;21;173
840;22;23;209
840;18;18;197
840;17;17;246
840;18;18;142
840;22;23;211
840;19;19;232
840;17;17;38
840;17;17;58
840;19;19;310
840;21;21;205
840;18;18;268
840;19;19;248
840;21;21;207
841;17;17;44
842;16;17;209
842;18;18;67
842;16;17;211
842;19;19;319
842;18;18;214
842;19;19;347
842;16;17;214
842;19;19;322
842;21;21;418
842;18;18;75
842;18;18;222
842;17;17;66
842;16;17;222
843;19;19;328
843;17;17;68
843;16;17;224
843;22;22;86
843;20;20;74
843;22;23;229
843;16;16;205
843;18;18;278
843;21;21;399
843;17;17;72
843;22;23;231
843;16;17;234
843;22;22;92
843;16;17;237
844;18;18;239
844;16;17;239
844;21;21;405
844;18;18;241
844;17;17;106
844;18;18;100
844;17;17;89
844;18;18;306
845;18;18;44
845;16;17;241
845;20;21;212
845;19;19;31
845;17;17;86
845;20;20;332
845;20;20;334
845;19;19;34
845;20;21;216
845;21;21;273
845;22;22;42
846;18;18;253
846;19;19;292
846;17;17;96
846;18;18;112
846;22;22;44
846;17;17;98
846;19;19;45
846;17;17;102
846;19;19;35
846;22;23;251
847;19;19;48
847;17;17;119
847;19;19;32
847;19;19;41
847;22;22;209
847;20;20;114
847;20;21;228
847;22;23;253
847;18;18;74
847;20;20;116
847;17;17;115
848;20;20;244
848;20;20;120
848;21;21;286
848;18;18;35
848;21;21;272
848;18;18;37
848;21;21;50
849;19;19;331
849;17;17;153
849;22;22;229
849;20;20;376
849;17;17;144
849;21;21;36
849;19;19;337
849;17;17;159
849;17;17;148
849;19;19;346
849;20;20;380
849;19;19;109
849;20;20;147
850;21;21;300
850;19;19;111
850;20;20;287
850;20;20;46
850;22;23;293
850;18;18;195
850;22;22;325
850;22;23;295
851;17;17;179
851;22;22;442
851;20;21;283
851;18;18;149
851;19;19;116
851;17;17;173
851;22;22;473
851;19;19;128
851;20;20;35
851;18;18;219
851;18;18;167
851;22;23;310
852;18;18;66
852;18;18;98
852;20;20;45
852;18;18;105
852;22;22;280
853;17;17;262
853;21;21;335
853;20;20;86
853;17;17;264
853;20;21;310
853;17;17;213
853;19;19;36
853;22;22;358
853;20;20;37
853;20;21;316
853;20;20;43
853;20;20;203
853;21;21;353
853;20;20;74
853;17;17;250
853;19;19;170
854;22;23;335
854;18;18;108
854;22;23;337
854;21;21;134
854;20;21;333
854;17;17;26
854;22;22;307
854;20;20;84
854;22;22;35
855;21;21;363
855;18;18;276
855;21;21;128
856;17;17;32
856;18;18;224
856;20;20;223
856;17;17;34
856;19;19;180
857;19;19;188
857;17;17;36
857;19;19;182
857;19;19;190
857;20;20;227
857;22;22;43
857;18;18;131
857;22;22;42
857;20;20;75
857;18;18;236
857;19;19;113
857;19;19;190
857;22;22;50
857;20;21;354
858;19;19;119
858;19;19;107
858;22;22;53
858;21;21;148
858;18;18;192
858;20;20;85
858;18;18;182
858;19;19;221
858;22;22;332
858;20;20;117
858;20;20;119
859;17;17;76
859;22;23;367
859;18;18;204
859;18;18;195
859;19;19;126
859;22;23;369
859;20;20;266
859;19;19;243
859;18;18;209
859;22;23;377
859;22;23;379
859;20;20;272
859;17;17;104
859;18;18;34
860;18;18;228
860;17;17;106
860;21;21;200
860;18;18;36
860;19;19;240
860;20;20;33
860;18;18;192
860;18;18;38
860;17;17;66
861;20;20;149
861;19;19;244
861;17;17;68
861;18;18;196
861;18;18;240
861;20;20;127
861;20;20;42
861;21;21;38
861;20;21;30
861;20;21;391
861;19;19;270
861;20;20;47
861;20;21;35
861;17;17;134
861;21;21;212
861;20;20;297
861;18;18;217
861;22;22;449
862;20;21;47
862;18;18;73
862;22;22;112
862;19;19;185
862;19;19;282
862;20;21;50
862;20;20;178
862;17;17;108
862;18;18;75
863;19;19;187
863;20;20;313
863;19;19;282
863;22;22;120
863;22;22;248
863;22;23;419
863;17;17;174
863;20;20;324
864;17;17;176
864;22;23;421
864;21;21;46
864;18;18;44
865;20;20;206
865;18;18;110
865;20;20;38
865;20;20;182
865;18;18;112
865;19;19;324
865;21;21;246
865;22;22;145
865;22;23;436
866;20;21;88
866;18;18;309
866;19;19;334
866;22;22;417
866;18;18;74
866;22;22;236
866;18;18;287
866;17;17;177
866;18;18;292
867;18;18;295
867;21;21;266
867;18;18;147
867;18;18;95
867;18;18;149
867;21;21;270
868;18;18;100
868;17;17;244
868;22;22;48
868;22;23;459
868;17;17;246
869;22;23;461
869;22;23;463
869;21;21;134
869;19;19;31
869;22;22;179
869;17;17;260
869;19;19;34
869;20;21;129
869;18;18;40
870;19;19;276
870;22;22;452
870;19;19;27
870;17;17;266
871;19;19;45
871;21;21;148
871;18;18;184
871;19;19;32
871;21;21;295
871;20;20;308
871;18;18;186
871;19;19;35
872;18;18;40
872;19;19;31
872;22;22;194
872;20;20;273
872;19;19;41
872;21;21;119
873;21;21;162
873;21;21;164
873;19;19;51
873;19;19;47
873;20;21;158
873;21;21;131
873;18;18;66
874;20;20;291
874;18;18;221
874;18;18;74
874;18;18;223
874;20;20;278
875;20;20;280
875;20;20;66
875;18;18;189
875;18;18;92
875;20;20;74
876;22;22;43
876;18;18;204
876;21;21;164
877;22;22;45
877;21;21;347
877;21;22;36
877;20;20;82
877;22;22;241
877;18;18;258
877;18;18;172
877;20;20;294
877;21;21;166
877;18;18;260
878;20;21;216
878;20;20;248
878;18;18;138
878;19;20;31
878;19;19;146
878;21;21;355
878;19;19;132
879;19;19;349
879;21;21;380
879;21;22;39
879;19;19;148
879;19;20;37
880;19;20;39
880;19;20;41
881;18;18;190
881;19;19;144
881;21;22;47
881;21;21;367
881;19;20;46
881;19;19;163
882;20;20;369
882;22;22;85
882;19;19;146
882;18;18;162
882;18;18;262
882;19;20;49
882;19;19;167
882;20;20;271
882;18;18;295
882;22;22;91
882;21;22;37
882;20;20;273
882;18;18;270
882;18;18;297
882;18;18;171
882;18;18;173
883;19;19;161
883;19;19;172
883;21;22;42
883;18;18;181
883;22;22;283
883;21;22;49
884;21;21;426
884;19;19;82
884;19;19;195
885;19;20;79
885;19;20;81
885;19;19;40
885;19;19;204
886;22;22;294
886;20;20;301
886;19;20;88
887;18;18;305
887;22;22;296
887;18;18;28
887;22;22;203
887;18;18;34
887;21;22;98
888;18;18;36
888;20;20;35
888;20;20;317
889;22;22;124
889;22;22;452
889;18;18;229
890;19;19;214
890;19;20;113
891;20;20;45
891;19;20;115
892;20;20;326
892;19;19;220
892;19;19;226
893;19;20;119
893;19;19;134
893;19;19;228
893;19;20;121
893;21;21;282
893;21;22;94
893;20;20;287
894;20;21;305
894;18;18;73
895;18;18;256
895;19;19;148
896;20;20;201
896;21;21;39
897;19;19;239
897;19;19;150
897;19;19;242
898;21;21;45
898;22;22;434
899;21;21;36
899;20;20;76
899;20;21;322
899;18;18;272
900;19;19;255
901;20;20;120
901;20;20;84
902;22;22;352
902;18;18;110
902;20;20;367
903;19;20;159
903;19;20;161
903;19;19;269
903;18;18;294
903;22;22;359
903;19;19;184
903;19;20;166
903;20;20;102
903;21;21;78
903;21;22;137
903;21;21;302
903;18;18;102
904;22;22;44
905;19;19;285
905;19;20;180
905;19;19;291
906;19;19;315
906;18;18;114
906;22;22;377
906;21;22;176
906;19;19;308
906;21;21;88
906;20;20;171
906;19;20;199
906;19;19;311
906;19;20;201
906;22;22;389
906;18;18;40
906;19;19;226
906;18;18;174
907;18;18;176
907;19;19;320
907;19;19;329
907;19;20;210
908;21;21;120
908;21;21;338
909;20;20;38
910;19;19;323
910;20;20;284
910;21;21;366
910;20;20;151
910;20;20;42
910;20;21;392
910;22;22;404
910;22;22;227
910;20;20;138
910;20;20;390
910;18;18;198
910;19;19;348
911;18;18;74
911;21;22;188
911;20;20;167
911;21;21;126
912;21;22;192
912;22;22;416
912;19;20;236
912;19;19;31
912;22;22;324
912;19;20;239
912;19;19;34
912;21;22;196
912;21;21;135
912;19;20;241
912;22;22;424
912;20;20;75
913;19;19;40
914;18;18;97
914;20;20;184
915;22;22;249
916;19;19;45
917;21;22;205
917;18;18;203
917;20;20;83
918;18;18;233
918;19;19;32
918;18;18;115
918;19;19;32
918;21;21;166
918;21;21;170
918;18;18;244
918;21;21;168
918;19;20;265
918;18;18;246
919;19;20;267
919;18;18;227
920;22;22;447
921;20;20;38
922;21;21;35
923;19;19;316
923;21;21;184
924;21;21;38
924;19;19;81
924;19;20;279
924;21;21;188
924;21;21;406
924;19;20;281
924;18;18;147
924;20;20;360
924;21;21;44
924;21;21;409
924;22;22;368
924;20;20;124
924;21;21;185
924;21;21;49
924;21;21;415
924;20;20;368
924;19;19;80
924;19;19;332
924;22;22;304
924;19;19;104
924;19;19;338
924;22;22;164
924;20;20;250
924;21;21;204
924;19;19;108
924;21;22;293
925;19;20;319
926;19;19;110
926;19;20;321
926;19;19;134
926;22;22;35
926;18;18;300
926;21;21;89
926;21;21;232
926;18;18;304
927;19;19;123
927;19;19;33
927;18;18;220
927;21;21;224
927;21;21;46
927;19;20;341
927;20;20;29
927;22;22;334
927;22;22;53
927;21;21;34
927;19;19;128
927;20;20;176
927;22;22;46
927;19;20;343
927;22;22;232
927;19;19;43
927;19;19;138
927;22;22;131
927;22;22;207
927;20;20;128
927;21;21;255
928;20;20;44
928;18;18;242
928;22;22;137
928;19;20;359
928;19;19;183
928;19;20;361
928;20;20;53
928;19;19;185
928;22;22;443
928;18;18;262
929;19;19;193
929;21;22;316
929;22;22;366
929;21;21;280
929;18;18;270
929;22;22;451
929;20;20;82
929;19;19;217
929;18;18;288
929;21;21;90
929;20;20;236
930;18;18;296
930;19;19;111
930;19;19;113
930;21;22;344
930;21;21;308
930;20;20;104
930;22;22;122
930;22;22;297
930;19;19;248
930;22;22;138
930;21;21;129
931;20;20;133
931;21;22;400
931;20;20;276
931;22;22;40
931;21;21;203
931;19;19;273
931;21;21;205
931;21;21;344
932;21;21;328
932;21;22;384
932;21;22;412
932;22;22;298
932;19;19;262
932;19;19;289
932;19;19;270
932;21;21;170
932;21;22;393
932;20;20;163
932;20;20;35
932;21;21;368
933;19;19;198
933;20;20;76
933;20;20;45
933;21;22;436
933;20;20;184
933;21;22;440
933;20;20;34
933;19;19;332
933;22;22;333
933;21;21;398
933;19;19;335
933;20;20;39
934;20;20;41
934;21;21;380
934;21;21;260
934;21;22;428
934;21;21;198
934;20;20;82
934;21;21;389
935;22;22;210
935;20;20;400
935;19;19;340
935;22;22;384
935;19;19;342
935;21;21;400
935;22;22;360
935;22;22;222
935;20;20;77
935;22;22;127
935;22;22;129
935;20;20;83
935;22;22;370
935;21;21;296
936;20;20;244
936;19;19;40
936;21;21;301
936;21;21;304
936;19;19;277
936;22;22;142
936;22;22;243
936;22;22;43
936;22;22;45
936;22;22;151
936;21;21;317
936;21;21;37
937;20;20;39
937;20;20;43
937;21;21;263
937;20;20;125
937;20;20;38
937;21;21;32
937;21;21;49
937;20;20;40
938;21;21;39
938;20;20;42
938;19;19;320
938;21;21;36
938;21;21;45
938;20;20;292
939;20;20;165
939;21;21;48
939;22;22;180
939;20;20;392
939;20;20;210
939;19;19;338
939;20;20;318
939;20;20;81
939;22;22;199
939;20;20;83
939;22;22;205
939;21;21;88
939;22;22;126
939;19;19;33
940;20;20;345
940;20;20;347
940;20;21;30
940;20;20;254
940;21;21;392
940;19;19;43
940;22;22;326
940;22;22;131
940;20;20;42
940;22;22;133
940;20;20;122
940;20;20;124
941;20;20;367
941;21;21;122
941;20;21;50
941;21;21;409
941;20;20;248
941;22;22;244
941;21;21;174
941;20;21;71
941;22;22;40
941;19;19;220
942;20;20;163
942;22;22;364
942;19;19;222
942;20;20;165
942;19;19;80
943;20;21;88
943;22;22;273
943;21;21;389
943;20;20;44
943;21;21;35
943;21;21;44
944;21;21;49
944;21;21;190
944;20;20;204
944;21;21;52
944;20;20;206
944;20;21;125
944;22;22;217
945;22;22;219
945;21;21;198
945;21;21;217
945;20;20;80
945;22;22;219
945;21;21;208
945;22;22;221
945;21;21;210
945;20;20;326
945;20;20;354
945;20;20;356
945;20;20;245
945;20;20;247
945;21;21;34
945;22;22;443
945;20;21;175
945;20;20;286
945;20;20;288
945;20;20;33
945;21;21;138
945;20;20;161
945;21;21;276
945;20;20;49
945;22;22;166
945;19;19;275
946;22;22;394
946;22;22;35
946;22;22;398
946;20;21;232
946;20;20;327
946;22;22;307
946;20;20;329
946;22;22;309
946;20;20;78
946;21;21;308
946;21;21;178
946;20;20;84
946;19;19;298
946;19;19;300
946;22;22;53
947;20;20;34
947;20;20;39
947;20;20;41
947;22;22;214
948;21;21;322
948;21;21;324
948;21;21;136
948;21;21;375
948;20;20;82
948;20;21;262
948;22;22;340
949;20;20;368
949;20;21;265
949;20;20;370
949;22;22;44
949;22;22;46
949;20;20;242
950;22;22;236
950;22;22;446
950;22;22;227
950;21;21;223
951;22;22;450
951;21;21;372
951;21;21;346
951;21;21;227
951;20;21;288
951;20;21;293
951;20;20;155
951;21;21;184
951;19;19;358
951;20;20;119
951;20;20;121
951;20;20;38
952;20;20;40
952;21;21;262
952;21;21;394
953;20;21;320
953;20;20;183
953;22;22;395
953;20;21;324
953;22;22;397
953;21;21;213
953;22;22;416
953;20;21;337
954;22;22;40
954;20;20;214
954;20;20;81
954;20;21;349
954;20;20;334
954;20;20;189
954;22;22;301
955;22;22;134
955;22;22;303
955;22;22;136
955;20;21;360
955;22;22;178
955;20;20;209
955;22;22;216
955;22;22;76
955;20;20;361
955;20;20;116
955;20;20;118
955;20;20;369
955;20;20;122
956;21;21;32
956;22;22;331
956;20;21;390
956;22;22;201
956;20;20;40
956;20;20;42
956;21;21;39
957;22;22;462
957;21;21;45
957;21;21;48
957;21;21;287
957;21;21;360
957;21;21;73
957;20;20;274
957;21;21;385
957;20;20;290
957;20;20;279
958;20;20;300
958;22;22;224
958;20;20;281
958;22;22;226
959;22;22;38
959;20;20;306
959;20;20;122
959;22;22;43
960;20;20;124
960;22;22;45
960;21;21;356
960;22;22;178
960;20;20;363
960;21;21;133
960;22;22;292
960;20;20;249
961;22;22;298
961;22;22;195
961;21;21;152
961;20;20;338
961;21;21;390
961;21;21;35
962;20;20;123
962;22;22;116
962;20;20;272
962;21;21;40
962;20;20;274
963;21;21;174
963;21;21;44
963;22;22;453
963;21;21;410
963;21;21;180
963;22;22;324
963;20;20;359
963;21;21;49
963;20;20;361
963;21;21;52
963;21;21;416
963;21;21;192
964;21;21;218
964;20;20;380
964;20;20;36
964;20;20;306
964;21;21;203
965;22;22;314
965;22;22;316
965;22;22;355
965;22;22;166
965;22;22;264
965;21;21;37
965;21;21;236
965;22;22;379
965;22;22;184
965;22;22;381
966;20;20;350
966;21;21;47
966;20;20;352
966;21;21;118
966;22;22;287
966;21;21;130
966;21;21;40
966;20;20;286
966;21;21;267
966;20;20;288
966;22;22;300
966;22;22;403
966;21;21;271
966;22;22;201
966;21;21;282
966;20;20;260
966;21;21;296
966;22;22;326
966;20;20;264
966;22;22;404
966;21;21;182
966;22;22;406
966;21;21;314
966;22;22;254
966;22;22;123
966;21;21;136
966;22;22;357
966;21;21;333
966;20;20;368
966;20;20;370
966;21;21;152
966;20;20;316
966;20;21;39
966;20;21;41
966;20;21;43
966;20;21;48
967;21;21;370
967;22;22;38
967;22;22;308
967;21;21;381
967;22;22;294
967;22;22;182
968;22;22;476
968;20;21;79
968;20;21;81
968;21;21;270
968;21;21;398
968;21;21;401
968;22;22;333
968;22;22;430
968;22;22;80
968;21;21;298
968;22;22;444
968;21;21;426
969;22;22;338
969;20;21;125
969;22;22;452
969;20;21;127
969;21;21;337
969;21;21;46
969;22;22;368
969;20;21;159
970;20;21;161
970;20;21;178
970;21;21;303
971;21;21;80
971;20;21;190
971;21;21;82
971;20;21;199
972;20;21;201
972;22;22;176
973;21;21;330
973;21;21;332
973;21;21;110
974;20;21;220
974;21;21;115
975;21;21;408
975;21;21;410
975;22;22;456
975;20;21;232
975;21;21;413
975;22;22;460
975;21;21;133
976;22;22;445
976;21;21;147
977;22;22;224
977;21;21;377
977;21;21;123
977;22;22;226
978;20;21;264
978;21;21;390
979;22;22;363
979;22;22;246
979;21;21;40
980;21;21;42
980;21;21;44
980;20;21;293
981;20;21;295
981;20;21;298
981;20;21;319
981;22;22;38
981;20;21;321
981;22;22;414
981;22;22;284
982;22;22;305
983;21;21;37
983;21;21;47
983;21;21;128
983;21;21;130
984;20;21;377
984;22;22;334
984;20;21;379
985;21;21;270
985;20;21;399
985;20;21;401
985;21;21;312
985;22;22;363
985;22;22;156
986;21;21;338
987;22;22;410
987;21;21;190
987;22;22;436
987;22;22;444
988;21;21;300
989;21;21;418
990;21;21;302
990;21;21;420
990;22;22;254
990;20;21;86
990;20;21;112
990;20;21;132
990;21;21;386
990;21;21;388
990;22;22;86
990;21;21;355
990;20;21;198
991;20;21;219
991;20;21;286
992;20;21;304
993;20;21;391
993;20;20;78
993;21;22;52
993;21;22;72
994;21;22;80
995;21;22;110
995;21;22;125
995;20;20;372
995;21;22;254
996;21;22;276
996;20;20;80
997;21;22;286
997;21;22;292
998;21;22;334
999;21;22;357
999;21;22;436
1000;20;20;392
