N, s, D, AD
163,60,9,6.03704
164,50,9,6.05521
164,74,9,6.05521
166,22,9,6.09091
166,38,9,6.09091
167,36,9,6.10843
167,51,9,6.10843
168,16,9,6.12575
169,16,9,6.14286
169,74,9,6.14286
170,20,9,6.15976
171,18,9,6.17647
171,20,9,6.17647
171,37,9,6.17647
171,39,9,6.17647
171,75,9,6.17647
171,77,9,6.17647
172,18,9,6.19298
173,51,9,6.2093
173,78,9,6.2093
175,40,9,6.24138
176,38,9,6.25714
177,54,9,6.27273
178,78,9,6.28814
179,17,9,6.30337
179,21,9,6.30337
181,19,9,6.33333
182,82,10,6.35359
183,54,10,6.37363
184,42,10,6.39344
185,40,10,6.41304
185,68,10,6.41304
187,57,10,6.45161
187,82,10,6.45161
188,22,10,6.47059
189,18,10,6.48936
190,18,10,6.50794
190,20,10,6.50794
190,56,10,6.50794
190,58,10,6.50794
191,20,10,6.52632
191,86,10,6.52632
193,44,10,6.5625
193,57,10,6.5625
193,71,10,6.5625
193,87,10,6.5625
194,42,10,6.58031
195,54,10,6.59794
196,86,10,6.61538
197,23,10,6.63265
197,35,10,6.63265
197,45,10,6.63265
197,60,10,6.63265
199,19,10,6.66667
199,21,10,6.66667
199,37,10,6.66667
199,43,10,6.66667
200,19,10,6.68342
200,21,10,6.68342
200,59,10,6.68342
200,61,10,6.68342
200,90,10,6.68342
201,19,10,6.7
201,21,10,6.7
201,54,10,6.7
201,74,10,6.7
202,56,10,6.71642
203,36,10,6.73267
203,62,10,6.73267
203,73,10,6.73267
203,89,10,6.73267
204,38,10,6.74877
205,24,10,6.76471
205,55,10,6.76471
205,94,10,6.76471
206,74,10,6.78049
207,18,10,6.79612
207,61,10,6.79612
207,95,10,6.79612
208,18,10,6.81159
209,22,10,6.82692
210,20,10,6.84211
210,22,10,6.84211
210,62,10,6.84211
210,64,10,6.84211
211,20,10,6.85714
211,95,10,6.85714
212,78,10,6.87204
213,59,10,6.88679
213,65,10,6.88679
214,38,10,6.90141
215,40,10,6.91589
216,58,10,6.93023
217,64,10,6.94444
217,78,10,6.94444
218,100,10,6.95853
219,19,10,6.97248
219,23,10,6.97248
221,21,10,7.
222,100,11,7.0181
223,68,11,7.03604
223,82,11,7.03604
224,62,11,7.05381
225,40,11,7.07143
226,42,11,7.08889
227,61,11,7.10619
227,67,11,7.10619
228,82,11,7.12335
229,24,11,7.14035
229,105,11,7.14035
230,20,11,7.15721
231,20,11,7.17391
231,22,11,7.17391
231,41,11,7.17391
231,43,11,7.17391
231,62,11,7.17391
231,64,11,7.17391
231,83,11,7.17391
231,85,11,7.17391
231,104,11,7.17391
231,106,11,7.17391
232,22,11,7.19048
233,71,11,7.2069
233,105,11,7.2069
234,86,11,7.22318
235,65,11,7.23932
236,42,11,7.25532
236,72,11,7.25532
237,44,11,7.27119
237,70,11,7.27119
238,64,11,7.28692
238,100,11,7.28692
239,25,11,7.30252
239,86,11,7.30252
240,110,11,7.31799
241,21,11,7.33333
241,23,11,7.33333
242,21,11,7.34855
242,23,11,7.34855
242,43,11,7.34855
242,45,11,7.34855
242,65,11,7.34855
242,67,11,7.34855
242,87,11,7.34855
242,89,11,7.34855
242,100,11,7.34855
242,109,11,7.34855
242,111,11,7.34855
243,21,11,7.36364
243,23,11,7.36364
243,74,11,7.36364
244,72,11,7.3786
244,112,11,7.3786
245,88,11,7.39344
245,103,11,7.39344
246,66,11,7.40816
247,46,11,7.42276
247,102,11,7.42276
248,26,11,7.43725
248,44,11,7.43725
249,69,11,7.45161
250,20,11,7.46586
250,92,11,7.46586
251,20,11,7.48
251,113,11,7.48
252,24,11,7.49402
253,22,11,7.50794
253,24,11,7.50794
253,45,11,7.50794
253,47,11,7.50794
253,68,11,7.50794
253,70,11,7.50794
253,91,11,7.50794
253,93,11,7.50794
253,114,11,7.50794
253,116,11,7.50794
254,22,11,7.52174
255,117,11,7.53543
256,92,11,7.54902
257,69,11,7.5625
257,108,11,7.5625
258,48,11,7.57588
259,46,11,7.58915
259,107,11,7.58915
260,72,11,7.60232
261,96,11,7.61538
262,118,11,7.62835
263,21,11,7.64122
263,25,11,7.64122
265,23,11,7.66667
266,122,12,7.68302
267,96,12,7.69925
268,72,12,7.71536
269,50,12,7.73134
269,82,12,7.73134
269,113,12,7.73134
270,48,12,7.74721
271,75,12,7.76296
271,112,12,7.76296
272,100,12,7.7786
273,123,12,7.79412
274,26,12,7.80952
275,22,12,7.82482
276,22,12,7.84
276,24,12,7.84
276,114,12,7.84
276,116,12,7.84
277,24,12,7.85507
277,127,12,7.85507
278,100,12,7.87004
279,75,12,7.88489
279,85,12,7.88489
279,128,12,7.88489
280,52,12,7.89964
281,50,12,7.91429
281,64,12,7.91429
281,101,12,7.91429
281,118,12,7.91429
282,78,12,7.92883
283,76,12,7.94326
283,104,12,7.94326
283,108,12,7.94326
283,117,12,7.94326
284,128,12,7.9576
285,27,12,7.97183
285,43,12,7.97183
285,53,12,7.97183
287,23,12,8.
287,25,12,8.
287,45,12,8.
287,51,12,8.
288,23,12,8.01394
288,25,12,8.01394
288,119,12,8.01394
288,121,12,8.01394
288,132,12,8.01394
289,23,12,8.02778
289,25,12,8.02778
289,80,12,8.02778
289,88,12,8.02778
289,104,12,8.02778
289,112,12,8.02778
290,66,12,8.04152
291,68,12,8.05517
291,107,12,8.05517
291,111,12,8.05517
292,44,12,8.06873
293,46,12,8.08219
293,91,12,8.08219
293,121,12,8.08219
293,132,12,8.08219
294,114,12,8.09556
295,28,12,8.10884
295,69,12,8.10884
295,124,12,8.10884
295,137,12,8.10884
296,92,12,8.12203
297,22,12,8.13514
297,138,12,8.13514
298,22,12,8.14815
299,26,12,8.16107
300,24,12,8.17391
300,26,12,8.17391
300,124,12,8.17391
300,126,12,8.17391
301,24,12,8.18667
301,138,12,8.18667
302,92,12,8.19934
303,69,12,8.21192
304,116,12,8.22442
305,46,12,8.23684
305,126,12,8.23684
306,48,12,8.24918
307,119,12,8.26144
307,129,12,8.26144
308,72,12,8.27362
309,96,12,8.28571
310,144,12,8.29773
311,23,12,8.30968
311,27,12,8.30968
313,25,12,8.33333
314,144,13,8.34824
315,96,13,8.36306
316,72,13,8.37778
317,114,13,8.39241
317,121,13,8.39241
317,131,13,8.39241
318,48,13,8.40694
319,50,13,8.42138
319,134,13,8.42138
320,124,13,8.43574
321,75,13,8.45
322,100,13,8.46417
323,28,13,8.47826
323,150,13,8.47826
324,24,13,8.49226
325,24,13,8.50617
325,26,13,8.50617
325,49,13,8.50617
325,51,13,8.50617
325,74,13,8.50617
325,76,13,8.50617
325,99,13,8.50617
325,101,13,8.50617
325,124,13,8.50617
325,126,13,8.50617
325,149,13,8.50617
325,151,13,8.50617
326,26,13,8.52
327,150,13,8.53374
328,100,13,8.5474
328,118,13,8.5474
329,75,13,8.56098
329,136,13,8.56098
330,126,13,8.57447
331,50,13,8.58788
331,139,13,8.58788
332,52,13,8.60121
332,72,13,8.60121
333,129,13,8.61446
334,78,13,8.62763
334,138,13,8.62763
335,29,13,8.64072
335,104,13,8.64072
336,156,13,8.65373
337,25,13,8.66667
337,27,13,8.66667
338,25,13,8.67953
338,27,13,8.67953
338,51,13,8.67953
338,53,13,8.67953
338,77,13,8.67953
338,79,13,8.67953
338,103,13,8.67953
338,105,13,8.67953
338,129,13,8.67953
338,131,13,8.67953
338,142,13,8.67953
338,155,13,8.67953
338,157,13,8.67953
339,25,13,8.69231
339,27,13,8.69231
339,122,13,8.69231
340,72,13,8.70501
340,158,13,8.70501
341,74,13,8.71765
341,106,13,8.71765
342,80,13,8.73021
343,133,13,8.74269
344,54,13,8.7551
344,122,13,8.7551
345,52,13,8.76744
345,73,13,8.76744
346,30,13,8.77971
346,132,13,8.77971
347,79,13,8.79191
347,123,13,8.79191
348,24,13,8.80403
348,106,13,8.80403
349,24,13,8.81609
349,160,13,8.81609
350,28,13,8.82808
351,26,13,8.84
351,28,13,8.84
351,53,13,8.84
351,55,13,8.84
351,80,13,8.84
351,82,13,8.84
351,107,13,8.84
351,109,13,8.84
351,134,13,8.84
351,136,13,8.84
351,161,13,8.84
351,163,13,8.84
352,26,13,8.85185
353,127,13,8.86364
353,164,13,8.86364
354,110,13,8.87535
355,77,13,8.88701
355,83,13,8.88701
356,138,13,8.89859
357,56,13,8.91011
358,54,13,8.92157
359,76,13,8.93296
359,137,13,8.93296
360,82,13,8.94429
361,110,13,8.95556
361,128,13,8.95556
362,166,13,8.96676
363,25,13,8.9779
363,29,13,8.9779
365,27,13,9.
366,170,14,9.0137
367,114,14,9.02732
367,132,14,9.02732
368,86,14,9.04087
369,80,14,9.05435
369,143,14,9.05435
370,58,14,9.06775
371,56,14,9.08108
372,142,14,9.09434
373,79,14,9.10753
373,85,14,9.10753
374,114,14,9.12064
375,133,14,9.13369
375,172,14,9.13369
376,30,14,9.14667
377,26,14,9.15957
378,26,14,9.17241
378,28,14,9.17241
378,80,14,9.17241
378,82,14,9.17241
378,134,14,9.17241
378,136,14,9.17241
379,28,14,9.18519
379,176,14,9.18519
380,118,14,9.19789
381,89,14,9.21053
381,137,14,9.21053
381,177,14,9.21053
382,148,14,9.2231
383,60,14,9.2356
383,83,14,9.2356
383,103,14,9.2356
383,119,14,9.2356
384,58,14,9.24804
385,90,14,9.26042
385,147,14,9.26042
386,88,14,9.27273
387,82,14,9.28497
387,118,14,9.28497
387,150,14,9.28497
388,178,14,9.29716
389,31,14,9.30928
389,51,14,9.30928
389,61,14,9.30928
389,138,14,9.30928
391,27,14,9.33333
391,29,14,9.33333
391,53,14,9.33333
391,59,14,9.33333
392,27,14,9.34527
392,29,14,9.34527
392,83,14,9.34527
392,85,14,9.34527
392,139,14,9.34527
392,141,14,9.34527
392,182,14,9.34527
393,27,14,9.35714
393,29,14,9.35714
393,122,14,9.35714
393,150,14,9.35714
394,106,14,9.36896
395,90,14,9.38071
395,140,14,9.38071
397,52,14,9.40404
397,84,14,9.40404
397,105,14,9.40404
397,121,14,9.40404
398,54,14,9.41562
399,183,14,9.42714
401,32,14,9.45
401,87,14,9.45
401,106,14,9.45
401,188,14,9.45
403,26,14,9.47264
403,145,14,9.47264
403,189,14,9.47264
404,26,14,9.48387
405,30,14,9.49505
406,28,14,9.50617
406,30,14,9.50617
406,86,14,9.50617
406,88,14,9.50617
406,144,14,9.50617
406,146,14,9.50617
407,28,14,9.51724
407,189,14,9.51724
409,110,14,9.53922
409,145,14,9.53922
411,87,14,9.56098
412,54,14,9.57178
413,56,14,9.58252
415,90,14,9.60386
416,110,14,9.61446
417,150,14,9.625
418,196,14,9.63549
419,27,14,9.64593
419,31,14,9.64593
421,29,14,9.66667
422,196,15,9.67933
423,150,15,9.69194
424,114,15,9.70449
425,90,15,9.71698
425,132,15,9.71698
427,56,15,9.74178
428,58,15,9.7541
429,93,15,9.76636
431,114,15,9.7907
431,155,15,9.7907
433,32,15,9.81481
433,203,15,9.81481
434,28,15,9.82679
435,28,15,9.83871
435,30,15,9.83871
435,57,15,9.83871
435,59,15,9.83871
435,115,15,9.83871
435,117,15,9.83871
435,202,15,9.83871
435,204,15,9.83871
436,30,15,9.85057
437,155,15,9.86239
437,203,15,9.86239
438,136,15,9.87414
439,93,15,9.88584
439,118,15,9.88584
440,156,15,9.89749
442,58,15,9.92063
442,82,15,9.92063
443,60,15,9.93213
443,96,15,9.93213
444,94,15,9.94357
445,160,15,9.95495
446,118,15,9.96629
446,196,15,9.96629
447,33,15,9.97758
448,210,15,9.98881
449,29,15,10.
449,31,15,10.
450,29,15,10.0111
450,31,15,10.0111
450,59,15,10.0111
450,61,15,10.0111
450,119,15,10.0111
450,121,15,10.0111
450,196,15,10.0111
450,209,15,10.0111
450,211,15,10.0111
451,29,15,10.0222
451,31,15,10.0222
451,140,15,10.0222
451,160,15,10.0222
452,98,15,10.0333
452,212,15,10.0333
453,84,15,10.0442
454,86,15,10.0552
454,120,15,10.0552
455,200,15,10.0661
456,164,15,10.0769
457,62,15,10.0877
457,199,15,10.0877
458,60,15,10.0985
458,144,15,10.0985
459,87,15,10.1092
460,34,15,10.1198
461,124,15,10.1304
461,145,15,10.1304
462,28,15,10.141
463,28,15,10.1515
463,215,15,10.1515
464,32,15,10.162
465,30,15,10.1724
465,32,15,10.1724
465,61,15,10.1724
465,63,15,10.1724
465,123,15,10.1724
465,125,15,10.1724
465,216,15,10.1724
465,218,15,10.1724
466,30,15,10.1828
467,145,15,10.1931
467,219,15,10.1931
469,87,15,10.2137
469,124,15,10.2137
471,207,15,10.234
472,64,15,10.2442
473,62,15,10.2542
473,206,15,10.2542
475,90,15,10.2743
476,128,15,10.2842
477,150,15,10.2941
478,222,15,10.304
479,29,15,10.3138
479,33,15,10.3138
481,31,15,10.3333
482,226,16,10.3451
483,150,16,10.3568
484,128,16,10.3685
485,90,16,10.3802
485,172,16,10.3802
487,66,16,10.4033
487,214,16,10.4033
488,64,16,10.4148
489,213,16,10.4262
491,93,16,10.449
491,132,16,10.449
493,155,16,10.4715
493,229,16,10.4715
494,34,16,10.4828
495,30,16,10.4939
496,30,16,10.5051
496,32,16,10.5051
496,92,16,10.5051
496,94,16,10.5051
496,154,16,10.5051
496,156,16,10.5051
496,216,16,10.5051
496,218,16,10.5051
497,32,16,10.5161
497,233,16,10.5161
499,132,16,10.5382
499,155,16,10.5382
499,177,16,10.5382
499,234,16,10.5382
501,93,16,10.56
501,117,16,10.56
502,68,16,10.5709
503,66,16,10.5817
503,133,16,10.5817
503,208,16,10.5817
503,221,16,10.5817
505,90,16,10.6032
505,220,16,10.6032
506,136,16,10.6139
507,96,16,10.6245
507,150,16,10.6245
508,236,16,10.6351
509,35,16,10.6457
